"Figure 1. Ocean Heat Content, 1955-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: CSIRO, 2016; MRI/JMA, 2016; NOAA, 2016",,,
Web update: August 2016,,,
Units: 10^22 joules,,,
,,,
Year,MRI/JMA,CSIRO,NOAA
1955,-2.929654633,,-3.437233333
1956,-2.354344633,,-2.844233333
1957,-2.817234633,,-4.849233333
1958,-0.713716633,,-1.769233333
1959,-2.301304633,,-2.425233333
1960,-2.008210633,-4.279333333,-1.678233333
1961,-1.366365633,-2.769333333,-2.351233333
1962,-0.414887633,-1.769333333,-1.311233333
1963,-1.899140633,-1.479333333,-2.508233333
1964,-2.630154633,-2.809333333,-3.357233333
1965,-2.374604633,-2.609333333,-3.296233333
1966,-2.374604633,-2.479333333,-4.180233333
1967,-2.269744633,-3.869333333,-4.597233333
1968,-3.364044633,-5.949333333,-5.964233333
1969,-4.521944633,-7.519333333,-4.717233333
1970,-3.621794633,-6.349333333,-5.534233333
1971,-2.465054633,-5.819333333,-4.003233333
1972,-1.390229633,-5.129333333,-5.475233333
1973,-1.587373633,-5.359333333,-3.755233333
1974,-2.403844633,-5.609333333,-3.011233333
1975,-2.214753633,-6.459333333,-1.787233333
1976,-1.017121633,-5.639333333,-2.839233333
1977,-1.010835633,-5.699333333,-0.204233333
1978,-1.475617633,-3.629333333,-0.184233333
1979,-2.460544633,-2.299333333,-1.196233333
1980,-2.478244633,-0.559333333,0.854766667
1981,0.691495367,0.350666667,-0.114233333
1982,1.916345367,0.020666667,-2.542233333
1983,1.099575367,-0.719333333,-2.999233333
1984,-0.836701633,-2.009333333,-0.695233333
1985,0.397855367,-1.729333333,-0.126233333
1986,0.557095367,-0.909333333,-1.273233333
1987,0.557095367,0.990666667,-1.129233333
1988,0.574915367,1.850666667,0.851766667
1989,0.114405367,2.820666667,0.666766667
1990,1.474455367,3.200666667,-0.059233333
1991,0.682525367,2.390666667,2.409766667
1992,0.275665367,2.580666667,0.335766667
1993,1.758395367,2.950666667,0.447766667
1994,1.443385367,3.990666667,1.273766667
1995,0.298675367,5.270666667,2.027766667
1996,0.699735367,6.330666667,4.307766667
1997,0.425075367,6.210666667,3.008766667
1998,2.708035367,4.780666667,4.067766667
1999,2.427035367,3.840666667,5.706766667
2000,1.238555367,3.990666667,5.435766667
2001,2.932275367,5.370666667,3.880766667
2002,2.591215367,5.830666667,6.552766667
2003,3.814055367,6.920666667,9.715766667
2004,4.613855367,7.230666667,10.00376667
2005,5.746545367,8.280666667,8.175766667
2006,5.753325367,8.750666667,10.19376667
2007,5.927515367,9.610666667,9.241766667
2008,5.927515367,10.24066667,9.815766667
2009,6.421475367,10.89066667,9.889766667
2010,5.929535367,11.29066667,10.13076667
2011,6.640045367,11.65066667,10.63276667
2012,7.204195367,12.39066667,10.70476667
2013,6.771455367,13.01066667,12.36476667
2014,7.153595367,14.22066667,13.02476667
2015,7.696565367,15.88066667,14.88576667
